sol,attitude,imageid,caption,sample_type,date_taken_mars,credit,date_taken_utc,json_link,link,drive,title,site,date_received,extended_mastAz,extended_mastEl,extended_sclk,extended_scaleFactor,extended_xyz,extended_subframeRect,extended_dimension,image_files_medium,image_files_small,image_files_full_res,image_files_large,camera_filter_name,camera_camera_vector,camera_camera_model_component_list,camera_camera_position,camera_instrument,camera_camera_model_type
293,"(0.428461,0.0712476,0.0249496,-0.900402)",SIF_0293_0692958033_335EBY_N0090000SRLC00467_0000LMJ,"NASA's Mars Perseverance rover acquired this image using its SHERLOC  WATSON camera, located on the turret at the end of the rover's robotic arm. 

This image was acquired on Dec. 16, 2021 (Sol 293) at the local mean solar time of 14:18:33.",Full,Sol-00293M14:18:33.795,NASA/JPL-Caltech,2021-12-16T20:25:32.273,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=SIF_0293_0692958033_335EBY_N0090000SRLC00467_0000LMJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=SIF_0293_0692958033_335EBY_N0090000SRLC00467_0000LMJ,0,Mars Perseverance Sol 293: WATSON Camera ,9,2021-12-16T23:27:21Z,297.019,-21.6922,692958037.723,1,"(0.0,0.0,0.0)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692958033_335EBY_N0090000SRLC00467_0000LMJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692958033_335EBY_N0090000SRLC00467_0000LMJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692958033_335EBY_N0090000SRLC00467_0000LMJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692958033_335EBY_N0090000SRLC00467_0000LMJ01_1200.jpg,OPEN,"(-0.05741094595537674,-0.0009234714670924425,0.9983502043296021)","(2.2491,-0.113828,-0.168614);(-0.0523918,-0.00320096,0.998623);(-2569.53,-1371.29,676.319);(1335.27,-2536.3,675.423);(-0.0433187,-0.0230561,0.998796);(0.000473,-0.032613,0.136778)","(2.2491,-0.113828,-0.168614)",SHERLOC_WATSON,CAHVOR
293,"(0.428461,0.0712476,0.0249496,-0.900402)",SI1_0293_0692958033_335ECM_N0090000SRLC00467_0000LMJ,"NASA's Mars Perseverance rover acquired this image using its SHERLOC  WATSON camera, located on the turret at the end of the rover's robotic arm. 

This image was acquired on Dec. 16, 2021 (Sol 293) at the local mean solar time of 14:18:33.",Full,Sol-00293M14:18:33.795,NASA/JPL-Caltech,2021-12-16T20:25:32.273,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=SI1_0293_0692958033_335ECM_N0090000SRLC00467_0000LMJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=SI1_0293_0692958033_335ECM_N0090000SRLC00467_0000LMJ,0,Mars Perseverance Sol 293: WATSON Camera ,9,2021-12-16T23:22:37Z,297.019,-21.6922,692958037.723,1,"(0.0,0.0,0.0)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692958033_335ECM_N0090000SRLC00467_0000LMJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692958033_335ECM_N0090000SRLC00467_0000LMJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692958033_335ECM_N0090000SRLC00467_0000LMJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692958033_335ECM_N0090000SRLC00467_0000LMJ01_1200.jpg,OPEN,"(-0.05741094595537674,-0.0009234714670924425,0.9983502043296021)","(2.2491,-0.113828,-0.168614);(-0.0523918,-0.00320096,0.998623);(-2569.53,-1371.29,676.319);(1335.27,-2536.3,675.423);(-0.0433187,-0.0230561,0.998796);(0.000473,-0.032613,0.136778)","(2.2491,-0.113828,-0.168614)",SHERLOC_WATSON,CAHVOR
293,"(0.428461,0.0712476,0.0249496,-0.900402)",FLF_0293_0692957941_526ECM_N0090000FHAZ00206_01_295J,"NASA's Mars Perseverance rover acquired this image of the area in front of it using its onboard Front Left Hazard Avoidance Camera A. 

This image was acquired on Dec. 16, 2021 (Sol 293) at the local mean solar time of 14:17:00.",Full,Sol-00293M14:17:00.864,NASA/JPL-Caltech,2021-12-16T20:23:57.571,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=FLF_0293_0692957941_526ECM_N0090000FHAZ00206_01_295J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=FLF_0293_0692957941_526ECM_N0090000FHAZ00206_01_295J,0,Mars Perseverance Sol 293: Front Left Hazard Avoidance Camera (Hazcam),9,2021-12-16T23:22:37Z,299.598,20.2622,692957942.309,4,"(0.0,0.0,0.0)","(1,1,5120,3840)","(1280,960)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/fcam/FLF_0293_0692957941_526ECM_N0090000FHAZ00206_01_295J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/fcam/FLF_0293_0692957941_526ECM_N0090000FHAZ00206_01_295J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/fcam/FLF_0293_0692957941_526ECM_N0090000FHAZ00206_01_295J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/fcam/FLF_0293_0692957941_526ECM_N0090000FHAZ00206_01_295J01_1200.jpg,UNK,"(0.8822468704651113,-0.17569579284202788,0.43677390939950644)","(1.10353,-0.008945,-0.729124);(0.884935,-0.17181,0.432865);(651.291,418.924,318.224);(186.623,-81.6605,689.135);(0.885293,-0.171227,0.432363);(1e-06,0.00889,-0.006754);(-0.006127,0.010389,0.004541);2.0;0.0","(1.10353,-0.008945,-0.729124)",FRONT_HAZCAM_LEFT_A,CAHVORE
293,"(0.428461,0.0712476,0.0249496,-0.900402)",FRF_0293_0692957941_526ECM_N0090000FHAZ00206_01_295J,"NASA's Mars Perseverance rover acquired this image of the area in front of it using its onboard Front Right Hazard Avoidance Camera A. 

This image was acquired on Dec. 16, 2021 (Sol 293) at the local mean solar time of 14:17:00.",Full,Sol-00293M14:17:00.864,NASA/JPL-Caltech,2021-12-16T20:23:57.499,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=FRF_0293_0692957941_526ECM_N0090000FHAZ00206_01_295J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=FRF_0293_0692957941_526ECM_N0090000FHAZ00206_01_295J,0,Mars Perseverance Sol 293: Front Right Hazard Avoidance Camera (Hazcam),9,2021-12-16T23:27:21Z,315.813,13.856,692957942.237,4,"(0.0,0.0,0.0)","(1,1,5120,3840)","(1280,960)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/fcam/FRF_0293_0692957941_526ECM_N0090000FHAZ00206_01_295J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/fcam/FRF_0293_0692957941_526ECM_N0090000FHAZ00206_01_295J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/fcam/FRF_0293_0692957941_526ECM_N0090000FHAZ00206_01_295J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/fcam/FRF_0293_0692957941_526ECM_N0090000FHAZ00206_01_295J01_1200.jpg,UNK,"(0.8865390191310518,0.17173156118530097,0.42960078963034015)","(1.08961,0.239014,-0.73578);(0.88539,0.173117,0.43141);(484.104,639.718,235.011);(190.844,83.9887,689.906);(0.884739,0.174294,0.432271);(3e-06,0.007003,-0.00533);(0.014078,0.007511,-0.004607);2.0;0.0","(1.08961,0.239014,-0.73578)",FRONT_HAZCAM_RIGHT_A,CAHVORE
293,"(0.428448,0.0715199,0.0250784,-0.900382)",SIF_0293_0692957855_003EBY_N0090000SRLC00643_0000LMJ,"NASA's Mars Perseverance rover acquired this image using its SHERLOC  WATSON camera, located on the turret at the end of the rover's robotic arm. 

This image was acquired on Dec. 16, 2021 (Sol 293) at the local mean solar time of 14:15:40.",Full,Sol-00293M14:15:40.555,NASA/JPL-Caltech,2021-12-16T20:22:34.271,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=SIF_0293_0692957855_003EBY_N0090000SRLC00643_0000LMJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=SIF_0293_0692957855_003EBY_N0090000SRLC00643_0000LMJ,0,Mars Perseverance Sol 293: WATSON Camera ,9,2021-12-16T23:27:21Z,296.986,-21.6869,692957859.673,1,"(0.0,0.0,0.0)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692957855_003EBY_N0090000SRLC00643_0000LMJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692957855_003EBY_N0090000SRLC00643_0000LMJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692957855_003EBY_N0090000SRLC00643_0000LMJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692957855_003EBY_N0090000SRLC00643_0000LMJ01_1200.jpg,OPEN,"(-0.057372582243049294,-0.0009740904465454913,0.9983523616211695)","(2.24749,-0.115429,-0.192758);(-0.0523545,-0.00325461,0.998623);(-2570.29,-1369.86,676.303);(1333.83,-2537.13,675.157);(-0.0432928,-0.023115,0.998795);(0.000473,-0.032613,0.136778)","(2.24749,-0.115429,-0.192758)",SHERLOC_WATSON,CAHVOR
293,"(0.428448,0.0715199,0.0250784,-0.900382)",SI1_0293_0692957855_003ECM_N0090000SRLC00643_0000LMJ,"NASA's Mars Perseverance rover acquired this image using its SHERLOC  WATSON camera, located on the turret at the end of the rover's robotic arm. 

This image was acquired on Dec. 16, 2021 (Sol 293) at the local mean solar time of 14:15:40.",Full,Sol-00293M14:15:40.555,NASA/JPL-Caltech,2021-12-16T20:22:34.271,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=SI1_0293_0692957855_003ECM_N0090000SRLC00643_0000LMJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=SI1_0293_0692957855_003ECM_N0090000SRLC00643_0000LMJ,0,Mars Perseverance Sol 293: WATSON Camera ,9,2021-12-16T23:22:37Z,296.986,-21.6869,692957859.673,1,"(0.0,0.0,0.0)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692957855_003ECM_N0090000SRLC00643_0000LMJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692957855_003ECM_N0090000SRLC00643_0000LMJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692957855_003ECM_N0090000SRLC00643_0000LMJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692957855_003ECM_N0090000SRLC00643_0000LMJ01_1200.jpg,OPEN,"(-0.057372582243049294,-0.0009740904465454913,0.9983523616211695)","(2.24749,-0.115429,-0.192758);(-0.0523545,-0.00325461,0.998623);(-2570.29,-1369.86,676.303);(1333.83,-2537.13,675.157);(-0.0432928,-0.023115,0.998795);(0.000473,-0.032613,0.136778)","(2.24749,-0.115429,-0.192758)",SHERLOC_WATSON,CAHVOR
293,"(0.428458,0.0711518,0.0249948,-0.900409)",SIF_0293_0692957683_398EBY_N0090000SRLC00643_0000LMJ,"NASA's Mars Perseverance rover acquired this image using its SHERLOC  WATSON camera, located on the turret at the end of the rover's robotic arm. 

This image was acquired on Dec. 16, 2021 (Sol 293) at the local mean solar time of 14:12:53.",Full,Sol-00293M14:12:53.161,NASA/JPL-Caltech,2021-12-16T20:19:43.260,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=SIF_0293_0692957683_398EBY_N0090000SRLC00643_0000LMJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=SIF_0293_0692957683_398EBY_N0090000SRLC00643_0000LMJ,0,Mars Perseverance Sol 293: WATSON Camera ,9,2021-12-16T23:27:21Z,296.985,-21.6868,692957688.004,1,"(0.0,0.0,0.0)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692957683_398EBY_N0090000SRLC00643_0000LMJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692957683_398EBY_N0090000SRLC00643_0000LMJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692957683_398EBY_N0090000SRLC00643_0000LMJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692957683_398EBY_N0090000SRLC00643_0000LMJ01_1200.jpg,OPEN,"(-0.057413320688465094,-0.0009953386703226003,0.9983499987020859)","(2.25044,-0.11384,-0.192545);(-0.0523955,-0.00327609,0.998621);(-2570.32,-1369.88,676.169);(1333.81,-2537.14,675.158);(-0.0433338,-0.0231364,0.998793);(0.000473,-0.032613,0.136778)","(2.25044,-0.11384,-0.192545)",SHERLOC_WATSON,CAHVOR
293,"(0.428458,0.0711518,0.0249948,-0.900409)",SI1_0293_0692957683_398ECM_N0090000SRLC00643_0000LMJ,"NASA's Mars Perseverance rover acquired this image using its SHERLOC  WATSON camera, located on the turret at the end of the rover's robotic arm. 

This image was acquired on Dec. 16, 2021 (Sol 293) at the local mean solar time of 14:12:53.",Full,Sol-00293M14:12:53.161,NASA/JPL-Caltech,2021-12-16T20:19:43.260,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=SI1_0293_0692957683_398ECM_N0090000SRLC00643_0000LMJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=SI1_0293_0692957683_398ECM_N0090000SRLC00643_0000LMJ,0,Mars Perseverance Sol 293: WATSON Camera ,9,2021-12-16T23:22:37Z,296.985,-21.6868,692957688.004,1,"(0.0,0.0,0.0)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692957683_398ECM_N0090000SRLC00643_0000LMJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692957683_398ECM_N0090000SRLC00643_0000LMJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692957683_398ECM_N0090000SRLC00643_0000LMJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692957683_398ECM_N0090000SRLC00643_0000LMJ01_1200.jpg,OPEN,"(-0.057413320688465094,-0.0009953386703226003,0.9983499987020859)","(2.25044,-0.11384,-0.192545);(-0.0523955,-0.00327609,0.998621);(-2570.32,-1369.88,676.169);(1333.81,-2537.14,675.158);(-0.0433338,-0.0231364,0.998793);(0.000473,-0.032613,0.136778)","(2.25044,-0.11384,-0.192545)",SHERLOC_WATSON,CAHVOR
293,"(0.428456,0.0714609,0.0249795,-0.900386)",SIF_0293_0692957553_992EBY_N0090000SRLC02501_0000LMJ,"NASA's Mars Perseverance rover acquired this image using its SHERLOC  WATSON camera, located on the turret at the end of the rover's robotic arm. 

This image was acquired on Dec. 16, 2021 (Sol 293) at the local mean solar time of 14:10:47.",Full,Sol-00293M14:10:47.605,NASA/JPL-Caltech,2021-12-16T20:17:33.268,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=SIF_0293_0692957553_992EBY_N0090000SRLC02501_0000LMJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=SIF_0293_0692957553_992EBY_N0090000SRLC02501_0000LMJ,0,Mars Perseverance Sol 293: WATSON Camera ,9,2021-12-16T23:27:21Z,296.72,-21.6769,692957558.609,1,"(0.0,0.0,0.0)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692957553_992EBY_N0090000SRLC02501_0000LMJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692957553_992EBY_N0090000SRLC02501_0000LMJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692957553_992EBY_N0090000SRLC02501_0000LMJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SIF_0293_0692957553_992EBY_N0090000SRLC02501_0000LMJ01_1200.jpg,OPEN,"(-0.05742697609001198,-0.0009319277556804805,0.998349274516597)","(2.26116,-0.113695,-0.382266);(-0.0524196,-0.00323536,0.998619);(-2576.57,-1358.22,675.872);(1322.17,-2543.36,674.662);(-0.0434489,-0.023137,0.998787);(0.000473,-0.032613,0.136778)","(2.26116,-0.113695,-0.382266)",SHERLOC_WATSON,CAHVOR
293,"(0.428456,0.0714609,0.0249795,-0.900386)",SI1_0293_0692957553_992ECM_N0090000SRLC02501_0000LMJ,"NASA's Mars Perseverance rover acquired this image using its SHERLOC  WATSON camera, located on the turret at the end of the rover's robotic arm. 

This image was acquired on Dec. 16, 2021 (Sol 293) at the local mean solar time of 14:10:47.",Full,Sol-00293M14:10:47.605,NASA/JPL-Caltech,2021-12-16T20:17:33.268,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=SI1_0293_0692957553_992ECM_N0090000SRLC02501_0000LMJ,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=SI1_0293_0692957553_992ECM_N0090000SRLC02501_0000LMJ,0,Mars Perseverance Sol 293: WATSON Camera ,9,2021-12-16T23:22:37Z,296.72,-21.6769,692957558.609,1,"(0.0,0.0,0.0)","(1,1,1648,1200)","(1648,1200)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692957553_992ECM_N0090000SRLC02501_0000LMJ01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692957553_992ECM_N0090000SRLC02501_0000LMJ01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692957553_992ECM_N0090000SRLC02501_0000LMJ01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00293/ids/edr/browse/shrlc/SI1_0293_0692957553_992ECM_N0090000SRLC02501_0000LMJ01_1200.jpg,OPEN,"(-0.05742697609001198,-0.0009319277556804805,0.998349274516597)","(2.26116,-0.113695,-0.382266);(-0.0524196,-0.00323536,0.998619);(-2576.57,-1358.22,675.872);(1322.17,-2543.36,674.662);(-0.0434489,-0.023137,0.998787);(0.000473,-0.032613,0.136778)","(2.26116,-0.113695,-0.382266)",SHERLOC_WATSON,CAHVOR
